"模块","功能点","描述","关键数据","优先级"
"首页","今日概览","显示剩余卡路里与概览","dailyCalories; currentWeight","P0"
"首页","211饮食结构展示","展示蔬菜/蛋白/主食占比","plateVeg; plateProtein; plateCarb","P0"
"首页","打卡记录入口","预览当日饮食/运动，跳转记录页","navigateToSection","P0"
"首页","目标统计入口","目标进度概览及跳转","currentWeight; targetWeight","P0"
"认证","微信一键登录","调起微信短链/方案并本地设置登录态","isLoggedIn; accountProfile","P0"
"认证","手机号验证码登录","发送/校验验证码（演示），设置登录态","isLoggedIn; accountProfile; otp:*","P0"
"认证","登录态同步","iframe 与父页 localStorage 同步","isLoggedIn; accountProfile","P1"
"个人中心","信息概览","昵称、会员标识、入口菜单","accountProfile.nickname","P0"
"个人中心","二级页导航","方案/档案/报告/偏好/营养师/账号导航","—","P0"
"健康档案","空状态引导","新用户提示开始填写","healthProfile(不存在)","P1"
"健康档案","编辑保存档案","姓名/性别/年龄/身高/体重/过敏/慢病/运动/工作","healthProfile; currentWeight; bmi","P0"
"健康档案","BMI计算","身高体重录入后计算 BMI","bmi","P0"
"目标进度","体重进度卡","当前体重/目标体重/已减/剩余展示","currentWeight; targetWeight","P0"
"目标进度","完成度圆环","目标完成度可视化","(派生)","P1"
"目标进度","趋势图","体重趋势曲线渲染","(派生)","P1"
"目标进度","健康统计卡","食物/运动统计卡，跳记录页","navigateToSection","P0"
"目标设置","当前/目标体重","输入并保存体重数值","currentWeight; targetWeight","P0"
"目标设置","目标周期","90/180/360 天选项","—","P2"
"我的方案","T型餐盘设置","veg/pro/carb 三项总和≤100","plateVeg; plateProtein; plateCarb","P0"
"我的方案","热量建议","每日热量设置与保存","dailyCalories","P1"
"我的方案","喝水建议","ml/日，默认=体重×30","waterMl","P1"
"我的方案","运动建议","分钟/日设置与保存","exerciseMinutes","P1"
"记录","食物记录","列表+统计（今日/周/月/全部）","展示数据（演示静态）","P0"
"记录","运动记录","列表+统计（今日/周/月/全部）","展示数据（演示静态）","P0"
"记录","喝水记录","列表+统计（今日/周/月/全部）","展示数据（演示静态）","P0"
"记录","时间维度切换","今日/本周/本月/全部切换","—","P0"
"记录","定向导航","从进度页定向到具体分区","navigateToSection","P0"
# "服务偏好","性格风格","温柔/专业/活力/幽默选择","servicePrefsPersonality","P0" (已移除)
# "服务偏好","提醒内容开关","饮食/运动/喝水开关与行显隐联动","servicePrefsSwitch","P0" (已移除)
# "服务偏好","提醒时间设置","早餐/午餐/晚餐/运动 具体时间","servicePrefs(time)","P1" (已移除)
# "服务偏好","喝水间隔","每N小时","servicePrefs(interval)","P1" (已移除)
# "服务偏好","快照保存","汇总偏好快照用于回显","servicePrefsSnapshot","P1" (已移除)
"体检报告","上传文件（演示）","选择文件提示成功","—","P2"
"体检报告","历史报告","列表点击预览 PDF","fileUrl -> iframe","P0"
"AI营养师","微信二维码","展示/保存二维码","—","P0"
"AI营养师","打开微信短链","scheme/短链回退","外链(wxaurl/scheme)","P0"
"社区","精选课程横滑","首页社区精选，查看全部","—","P1"
"课程列表","搜索/排序","关键词、热度/时长/名称排序","courses.json","P1"
"课程列表","标签筛选","多选标签；全部清除","tags(courses.json)","P1"
"课程列表","分页加载","逐页渲染/加载更多","—","P1"
"课程详情","头部信息","封面/标题/标签/时长/人数/评分","courses.json + id","P0"
"课程详情","学习进度","完成课时/进度条（演示）","—","P1"
"帖子详情","内容/图片/互动","点赞持久化","postDetailLiked","P1"
"账号信息","昵称/手机号/微信号","已有字段锁定，可补充一次即锁","accountProfile","P0"
"导航","通用返回","returnToPage/历史回退兜底","returnToPage","P0"
"导航","登录态校验","进入个人中心未登录则重定向认证","isLoggedIn","P0"
"状态持久化","本地键约定","所有业务状态本地化说明","localStorage 多键","P0"
"PDF预览","模态预览","支持关闭/ESC/遮罩关闭","—","P1"
"集成","父子页消息","index 自动收集页面流程(postMessage)","__FLOW_LINKS__","P2"
"性能/空态","骨架/空列表","列表骨架、空结果提示","—","P2"
"安全","PII最小化","仅本地演示存储，后续需加密","accountProfile.*","P2"

